,Unnamed: 0,Movie Title,Gross Revenue (USD),Genre,tconst,Runtime (min),IMDB Rating,Worldwide Box Office (USD)
175,213,Megamind,"$148,415,853","Animation, Action, Comedy",tt1001526,95.0,7.3,"$321,885,765"
176,214,Little Fockers,"$148,383,780","Comedy, Romance",tt0970866,98.0,5.5,"$310,650,585"
177,215,Hotel Transylvania,"$148,313,048","Animation, Comedy, Family",tt0837562,91.0,7.1,"$358,375,603"
178,216,War for the Planet of the Apes,"$146,880,162","Action, Adventure, Drama",tt3450958,140.0,7.5,"$490,719,763"
179,217,The Great Gatsby,"$144,840,419","Drama, Romance",tt1343092,143.0,7.3,"$353,641,895"
180,218,Pokémon Detective Pikachu,"$144,105,346","Adventure, Comedy, Family",tt5884052,104.0,6.9,"$433,005,346"
181,219,Rio,"$143,619,809","Animation, Adventure, Comedy",tt1436562,96.0,6.9,"$483,866,518"
182,222,Kung Fu Panda 3,"$143,528,619","Animation, Action, Adventure",tt2267968,95.0,7.1,"$521,170,825"
183,223,The Meg,"$143,005,856","Action, Horror, Sci-Fi",tt4779682,113.0,5.7,"$530,243,742"
184,224,The Smurfs,"$142,614,158","Animation, Adventure, Comedy",tt0472181,103.0,5.5,"$563,749,323"
185,225,Shazam!,"$140,371,656","Action, Adventure, Comedy",tt0448115,132.0,7.4,"$365,971,656"
186,226,Taken 2,"$139,854,287","Action, Thriller",tt1397280,92.0,6.3,"$376,141,306"
187,227,The King's Speech,"$138,797,449","Biography, Drama, History",tt1504320,118.0,8.0,"$423,999,102"
188,228,21 Jump Street,"$138,447,667","Action, Comedy, Crime",tt1232829,109.0,7.2,"$201,585,328"
189,229,Split,"$138,291,365","Horror, Thriller",tt2660118,90.0,2.9,"$278,454,358"
190,235,Ready Player One,"$137,690,172","Action, Adventure, Sci-Fi",tt1677720,140.0,7.5,"$582,890,172"
191,236,The Conjuring,"$137,400,141","Horror, Mystery, Thriller",tt1457767,112.0,7.5,"$319,494,638"
192,237,Argo,"$136,025,503","Biography, Drama, Thriller",tt1024648,120.0,7.7,"$232,325,503"
193,238,Ride Along,"$134,938,200","Action, Comedy, Crime",tt1408253,99.0,6.2,"$154,468,902"
194,240,Identity Thief,"$134,506,920","Comedy, Crime, Drama",tt2024432,111.0,5.7,"$173,965,010"
195,241,Grown Ups 2,"$133,668,525",Comedy,tt2191701,101.0,5.4,"$246,984,278"
196,242,Alvin and the Chipmunks: Chipwrecked,"$133,110,742","Animation, Adventure, Comedy",tt1615918,87.0,4.4,"$342,695,435"
197,243,The Wolverine,"$132,556,852","Action, Adventure, Sci-Fi",tt1430132,126.0,6.7,"$414,828,246"
198,244,Wonder,"$132,422,809","Drama, Family",tt2543472,113.0,8.0,"$305,937,718"
199,245,Silver Linings Playbook,"$132,092,958","Comedy, Drama, Romance",tt1045658,122.0,7.7,"$236,412,453"
200,246,The Last Airbender,"$131,564,731","Action, Adventure, Family",tt0938283,103.0,4.1,"$319,713,881"
201,247,Rio 2,"$131,538,435","Animation, Adventure, Comedy",tt2357291,101.0,6.3,"$498,781,117"
202,248,Insurgent,"$130,179,072","Action, Adventure, Sci-Fi",tt2908446,119.0,6.2,"$297,002,527"
203,249,The Peanuts Movie,"$130,178,411","Animation, Comedy, Family",tt2452042,88.0,7.1,"$246,233,113"
