,Movie Title,Gross Revenue (USD),Genre
312,Edge of Tomorrow,"$100,206,256","Action, Adventure, Sci-Fi"
313,The Addams Family,"$100,044,905","Animation, Comedy, Family"
314,Passengers,"$100,014,699","Drama, Romance, Sci-Fi"
315,Gnomeo & Juliet,"$99,967,670","Animation, Adventure, Comedy"
316,Christopher Robin,"$99,215,042","Comedy, Drama, Family"
317,Olympus Has Fallen,"$98,925,640","Action, Thriller"
318,The Green Hornet,"$98,780,042","Action, Comedy"
319,Date Night,"$98,711,404","Comedy, Crime, Romance"
320,Sausage Party,"$97,685,686","Animation, Adventure, Comedy"
321,The Social Network,"$96,962,694","Biography, Drama"
322,Rocketman,"$96,368,160","Biography, Drama, Music"
323,Zero Dark Thirty,"$95,720,716","Drama, History, Thriller"
324,Sex and the City 2,"$95,347,692","Comedy, Drama, Romance"
325,42,"$95,001,343","Biography, Drama, Sport"
326,The Book of Eli,"$94,835,059","Action, Adventure, Drama"
327,Flight,"$93,772,375","Drama, Thriller"
328,The Fighter,"$93,617,009","Biography, Drama, Sport"
329,Tomorrowland,"$93,436,322","Action, Adventure, Family"
330,The Magnificent Seven,"$93,432,655","Action, Adventure, Western"
331,Elysium,"$93,050,117","Action, Drama, Sci-Fi"
332,The Town,"$92,186,262","Crime, Drama, Thriller"
333,Non-Stop,"$92,168,600","Action, Mystery, Thriller"
334,Blade Runner 2049,"$92,054,159","Action, Drama, Mystery"
335,John Wick: Chapter 2,"$92,029,184","Action, Crime, Thriller"
336,Think Like a Man,"$91,547,205","Comedy, Romance"
337,Heaven Is for Real,"$91,443,253","Biography, Drama, Family"
338,Ride Along 2,"$91,221,830","Action, Comedy, Crime"
339,The Imitation Game,"$91,125,683","Biography, Drama, Thriller"
340,Prince of Persia: The Sands of Time,"$90,759,676","Action, Adventure, Fantasy"
341,Get Hard,"$90,411,453","Comedy, Crime"
342,RED,"$90,380,162","Action, Comedy, Crime"
343,Planes,"$90,288,712","Animation, Adventure, Comedy"
344,Terminator Genisys,"$89,760,956","Action, Adventure, Sci-Fi"
345,The Lone Ranger,"$89,302,115","Action, Adventure, Comedy"
346,Taken 3,"$89,256,424","Action, Thriller"
347,Don't Breathe,"$89,217,875","Crime, Horror, Thriller"
348,Oblivion,"$89,021,735","Action, Adventure, Sci-Fi"
349,Percy Jackson & the Olympians: The Lightning Thief,"$88,761,720","Adventure, Family, Fantasy"
350,The Muppets,"$88,631,237","Adventure, Comedy, Family"
351,Miss Peregrine's Home for Peculiar Children,"$87,242,834","Adventure, Drama, Family"
352,Sisters,"$87,044,645",Comedy
353,The Campaign,"$86,907,746",Comedy
354,The Accountant,"$86,260,045","Action, Crime, Drama"
355,Dumb and Dumber To,"$86,208,010",Comedy
356,The Emoji Movie,"$86,089,513","Animation, Adventure, Comedy"
357,Annie,"$85,911,262","Comedy, Drama, Family"
358,Alvin and the Chipmunks: The Road Chip,"$85,886,987","Animation, Adventure, Comedy"
359,Fury,"$85,817,906","Action, Drama, War"
360,Alita: Battle Angel,"$85,710,210","Action, Adventure, Sci-Fi"
361,Real Steel,"$85,468,508","Action, Drama, Family"
362,Power Rangers,"$85,364,450","Action, Adventure, Sci-Fi"
363,Green Book,"$85,080,171","Biography, Comedy, Drama"
364,The Expendables 2,"$85,017,401","Action, Adventure, Thriller"
365,Paranormal Activity 2,"$84,752,907",Horror
366,Tammy,"$84,525,432","Comedy, Romance"
367,Ferdinand,"$84,410,380","Animation, Adventure, Comedy"
368,"Crazy, Stupid, Love.","$84,351,197","Comedy, Drama, Romance"
369,Annabelle,"$84,273,813","Horror, Mystery, Thriller"
370,The Other Woman,"$83,911,193","Comedy, Romance"
371,Wrath of the Titans,"$83,670,083","Action, Adventure, Fantasy"
372,Insidious: Chapter 2,"$83,586,447","Horror, Mystery, Thriller"
373,Battle Los Angeles,"$83,552,429","Action, Sci-Fi"
374,Immortals,"$83,504,017","Action, Drama, Fantasy"
375,I Can Only Imagine,"$83,482,352","Biography, Drama, Family"
376,Penguins of Madagascar,"$83,348,920","Animation, Adventure, Comedy"
377,Saving Mr. Banks,"$83,301,580","Biography, Comedy, Drama"
378,Smallfoot,"$83,240,103","Animation, Adventure, Comedy"
379,Turbo,"$83,028,128","Animation, Adventure, Comedy"
380,The Descendants,"$82,584,160","Comedy, Drama"
381,Let's Be Cops,"$82,390,774","Action, Comedy, Crime"
382,Teenage Mutant Ninja Turtles: Out of the Shadows,"$82,051,601","Action, Adventure, Comedy"
383,The Post,"$81,903,458","Biography, Drama, History"
384,Maze Runner: The Scorch Trials,"$81,697,192","Action, Adventure, Sci-Fi"
385,Unstoppable,"$81,562,942","Action, Thriller"
386,Ted 2,"$81,476,385",Comedy
387,Eat Pray Love,"$80,574,010","Biography, Drama, Romance"
388,Hustlers,"$80,553,967","Comedy, Crime, Drama"
389,Zookeeper,"$80,360,843","Comedy, Family, Fantasy"
390,The Mummy,"$80,101,125","Action, Adventure, Fantasy"
391,Goosebumps,"$80,080,379","Adventure, Comedy, Family"
392,Jack Reacher,"$80,070,736","Action, Thriller"
393,Dear John,"$80,014,842","Drama, Romance, War"
394,Men in Black: International,"$80,001,807","Action, Adventure, Comedy"
395,War Horse,"$79,884,879","Action, Adventure, Drama"
396,Dark Shadows,"$79,727,149","Comedy, Fantasy, Horror"
397,Limitless,"$79,249,455","Sci-Fi, Thriller"
398,The Purge: Election Year,"$79,213,375","Action, Horror, Sci-Fi"
399,Pixels,"$78,747,585","Action, Comedy, Fantasy"
400,Tower Heist,"$78,046,570","Action, Comedy, Crime"
401,The Monuments Men,"$78,031,620","Comedy, Drama, History"
402,The Adventures of Tintin,"$77,591,831","Animation, Action, Adventure"
403,Night School,"$77,339,130",Comedy
404,Parental Guidance,"$77,267,296","Comedy, Family"
405,The A-Team,"$77,222,099","Action, Adventure, Thriller"
406,Alice Through the Looking Glass,"$77,042,381","Adventure, Family, Fantasy"
407,Knight and Day,"$76,423,035","Action, Adventure, Comedy"
408,Paddington,"$76,271,832","Adventure, Comedy, Family"
409,Pete's Dragon,"$76,233,151","Action, Adventure, Comedy"
410,The Intern,"$75,764,672","Comedy, Drama"
411,Contagion,"$75,658,097","Action, Drama, Thriller"
412,We Bought a Zoo,"$75,624,550","Comedy, Drama, Family"
413,2 Guns,"$75,612,460","Action, Comedy, Thriller"
414,Moneyball,"$75,605,492","Biography, Drama, Sport"
415,The Hitman's Bodyguard,"$75,468,583","Action, Comedy, Crime"
416,The Girl on the Train,"$75,395,035","Crime, Drama, Mystery"
417,Alien: Covenant,"$74,262,031","Horror, Sci-Fi, Thriller"
418,Jack and Jill,"$74,158,157",Comedy
419,Annabelle Comes Home,"$74,152,591","Horror, Mystery, Thriller"
420,Captain Underpants: The First Epic Movie,"$73,921,000","Animation, Action, Comedy"
421,Hugo,"$73,864,507","Drama, Family, Fantasy"
422,Yesterday,"$73,286,650","Comedy, Fantasy, Music"
423,Tyler Perry's A Madea Family Funeral,"$73,257,045",Comedy
424,Tyler Perry's Boo! A Madea Halloween,"$73,159,525","Comedy, Drama, Horror"
