,Movie Title,Gross Revenue (USD),Genre,Runtime (min),IMDB Rating
317,Captain Phillips,"$107,100,855","Biography, Crime, Drama",134.0,7.8
318,Black Swan,"$106,954,678","Drama, Thriller",108.0,8.0
319,300: Rise of an Empire,"$106,580,051","Action, Drama",102.0,6.2
320,The Lego Movie 2: The Second Part,"$105,806,508","Animation, Action, Adventure",107.0,6.7
321,Robin Hood,"$105,269,730","Action, Adventure, Drama",140.0,6.6
329,Pitch Perfect 3,"$104,897,530","Comedy, Music",93.0,5.8
330,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$104,386,950","Adventure, Family, Fantasy",113.0,6.3
331,Paranormal Activity 3,"$104,007,828","Horror, Mystery, Thriller",83.0,5.8
332,Journey 2: The Mysterious Island,"$103,860,290","Action, Adventure, Comedy",94.0,5.8
333,The Mule,"$103,804,407","Crime, Drama, Thriller",100.0,6.2
336,Rise of the Guardians,"$103,412,758","Animation, Action, Adventure",97.0,7.3
337,Independence Day: Resurgence,"$103,144,286","Action, Adventure, Sci-Fi",120.0,5.2
338,The Expendables,"$103,068,524","Action, Adventure, Thriller",103.0,6.5
339,Just Go with It,"$103,028,109","Comedy, Romance",117.0,6.4
340,Murder on the Orient Express,"$102,826,543","Crime, Drama, Mystery",114.0,6.5
341,The Girl with the Dragon Tattoo,"$102,515,793","Crime, Drama, Mystery",158.0,7.8
342,The Conjuring 2,"$102,470,008","Horror, Mystery, Thriller",134.0,7.4
343,The Maze Runner,"$102,427,862","Action, Mystery, Sci-Fi",113.0,6.8
344,Annabelle: Creation,"$102,092,201","Horror, Mystery, Thriller",109.0,6.5
345,The Equalizer 2,"$102,084,362","Action, Crime, Thriller",121.0,6.7
346,Bad Grandpa,"$102,003,019",Comedy,92.0,6.5
347,Pacific Rim,"$101,802,906","Action, Adventure, Sci-Fi",131.0,6.9
348,The Equalizer,"$101,530,738","Action, Crime, Thriller",132.0,7.2
349,This Is the End,"$101,470,202",Comedy,107.0,6.6
350,Noah,"$101,200,044","Action, Adventure, Drama",,5.6
356,Rampage,"$101,028,233","Action, Adventure, Sci-Fi",107.0,6.1
357,Arrival,"$100,546,139","Drama, Mystery, Sci-Fi",116.0,7.9
358,Due Date,"$100,539,043","Comedy, Drama",95.0,6.5
359,A Wrinkle in Time,"$100,478,608","Adventure, Family, Fantasy",109.0,4.2
360,Fifty Shades Freed,"$100,407,760","Drama, Romance, Thriller",105.0,4.5
361,Bad Teacher,"$100,292,856","Comedy, Romance",92.0,5.7
362,Yogi Bear,"$100,246,011","Animation, Adventure, Comedy",80.0,4.6
363,Cowboys & Aliens,"$100,240,551","Action, Sci-Fi, Thriller",119.0,6.0
364,Kingsman: The Golden Circle,"$100,234,838","Action, Adventure, Comedy",141.0,6.8
365,Edge of Tomorrow,"$100,206,256","Action, Adventure, Sci-Fi",113.0,7.9
366,Passengers,"$100,014,699","Drama, Romance, Sci-Fi",116.0,7.0
367,Gnomeo & Juliet,"$99,967,670","Animation, Adventure, Comedy",84.0,6.0
368,Christopher Robin,"$99,215,042","Comedy, Drama, Family",104.0,7.3
369,Olympus Has Fallen,"$98,925,640","Action, Thriller",119.0,6.5
370,The Green Hornet,"$98,780,042","Action, Comedy",119.0,5.8
371,Date Night,"$98,711,404","Comedy, Crime, Romance",88.0,6.3
372,Sausage Party,"$97,685,686","Animation, Adventure, Comedy",89.0,6.2
373,The Social Network,"$96,962,694","Biography, Drama",120.0,7.7
374,Rocketman,"$96,368,160","Biography, Drama, Music",121.0,7.7
375,Zero Dark Thirty,"$95,720,716","Drama, History, Thriller",157.0,7.4
376,Sex and the City 2,"$95,347,692","Comedy, Drama, Romance",146.0,4.4
377,42,"$95,001,343","Biography, Drama, Sport",128.0,7.5
378,The Book of Eli,"$94,835,059","Action, Adventure, Drama",118.0,6.9
379,Flight,"$93,772,375","Drama, Thriller",138.0,7.3
380,The Fighter,"$93,617,009","Biography, Drama, Sport",116.0,7.8
381,Tomorrowland,"$93,436,322","Action, Adventure, Family",130.0,6.4
383,The Magnificent Seven,"$93,432,655","Action, Adventure, Western",132.0,6.9
384,Elysium,"$93,050,117","Action, Drama, Sci-Fi",109.0,6.6
386,The Town,"$92,186,262","Crime, Drama, Thriller",125.0,7.6
387,Non-Stop,"$92,168,600","Action, Mystery, Thriller",106.0,7.0
388,Blade Runner 2049,"$92,054,159","Action, Drama, Mystery",164.0,8.0
389,John Wick: Chapter 2,"$92,029,184","Action, Crime, Thriller",122.0,7.5
390,Think Like a Man,"$91,547,205","Comedy, Romance",122.0,6.6
391,Heaven Is for Real,"$91,443,253","Biography, Drama, Family",99.0,5.8
392,Ride Along 2,"$91,221,830","Action, Comedy, Crime",102.0,5.9
393,The Imitation Game,"$91,125,683","Biography, Drama, Thriller",114.0,8.0
394,Prince of Persia: The Sands of Time,"$90,759,676","Action, Adventure, Fantasy",116.0,6.6
395,Get Hard,"$90,411,453","Comedy, Crime",100.0,6.0
396,RED,"$90,380,162","Action, Comedy, Crime",111.0,7.1
397,Planes,"$90,288,712","Animation, Adventure, Comedy",91.0,5.7
398,Terminator Genisys,"$89,760,956","Action, Adventure, Sci-Fi",126.0,6.4
399,The Lone Ranger,"$89,302,115","Action, Adventure, Comedy",150.0,6.4
400,Taken 3,"$89,256,424","Action, Thriller",108.0,6.0
401,Don't Breathe,"$89,217,875","Crime, Horror, Thriller",86.0,6.6
403,Oblivion,"$89,021,735","Action, Adventure, Sci-Fi",124.0,7.0
405,Percy Jackson & the Olympians: The Lightning Thief,"$88,761,720","Adventure, Family, Fantasy",118.0,5.9
406,The Muppets,"$88,631,237","Adventure, Comedy, Family",103.0,7.1
407,Miss Peregrine's Home for Peculiar Children,"$87,242,834","Adventure, Drama, Family",127.0,6.7
408,Sisters,"$87,044,645",Comedy,118.0,6.0
411,The Campaign,"$86,907,746",Comedy,85.0,6.1
413,The Accountant,"$86,260,045","Action, Crime, Drama",128.0,7.3
414,Dumb and Dumber To,"$86,208,010",Comedy,109.0,5.6
415,The Emoji Movie,"$86,089,513","Animation, Adventure, Comedy",86.0,3.2
416,Annie,"$85,911,262","Comedy, Drama, Family",118.0,5.3
417,Alvin and the Chipmunks: The Road Chip,"$85,886,987","Animation, Adventure, Comedy",92.0,5.1
418,Fury,"$85,817,906","Action, Drama, War",134.0,7.6
419,Alita: Battle Angel,"$85,710,210","Action, Adventure, Sci-Fi",122.0,7.5
420,Real Steel,"$85,468,508","Action, Drama, Family",127.0,7.1
421,Power Rangers,"$85,364,450","Action, Adventure, Sci-Fi",124.0,6.0
422,Green Book,"$85,080,171","Biography, Comedy, Drama",130.0,8.3
423,The Expendables 2,"$85,017,401","Action, Adventure, Thriller",103.0,6.6
424,Paranormal Activity 2,"$84,752,907",Horror,91.0,5.7
425,Tammy,"$84,525,432","Comedy, Romance",97.0,4.9
